registered,occurred,broker,modbus,mac_id,mc_no,process
2026-06-16 14:26:58.149,2026-06-16 14:23:19.626,1.0,1.0,,mc2,demo1
2026-06-16 14:26:57.636,2026-06-16 14:23:19.626,1.0,1.0,,mc6,demo1
2026-06-16 14:21:05.156,2026-06-16 14:18:18.200,1.0,1.0,,mc2,demo1
2026-06-16 14:21:05.325,2026-06-16 14:18:18.200,0.0,0.0,0,mc4,demo1
2026-06-16 14:21:05.244,2026-06-16 14:18:18.200,0.0,0.0,0,mc3,demo1
2026-06-16 14:21:05.039,2026-06-16 14:18:18.200,1.0,1.0,,mc6,demo1
2026-06-16 14:21:05.390,2026-06-16 14:18:18.200,1.0,1.0,,mc5,demo1
2026-06-16 14:21:05.107,2026-06-16 14:18:18.200,1.0,1.0,,mc1,demo1
2026-06-16 14:21:05.431,2026-06-16 14:13:18.721,1.0,1.0,,mc6,demo1
2026-06-16 14:21:06.059,2026-06-16 14:13:18.721,1.0,1.0,,mc5,demo1
2026-06-16 14:21:05.787,2026-06-16 14:13:18.721,0.0,0.0,0,mc4,demo1
2026-06-16 14:21:05.711,2026-06-16 14:13:18.721,0.0,0.0,0,mc3,demo1
2026-06-16 14:21:05.640,2026-06-16 14:13:18.721,1.0,1.0,,mc2,demo1
2026-06-16 14:21:05.524,2026-06-16 14:13:18.721,1.0,1.0,,mc1,demo1
2026-06-16 14:11:30.581,2026-06-16 14:08:19.295,1.0,1.0,,mc5,demo1
2026-06-16 14:11:30.660,2026-06-16 14:08:19.295,0.0,0.0,0,mc4,demo1
2026-06-16 14:11:30.411,2026-06-16 14:08:19.295,1.0,1.0,,mc6,demo1
2026-06-16 14:11:30.492,2026-06-16 14:08:19.295,1.0,1.0,,mc1,demo1
2026-06-16 14:11:30.692,2026-06-16 14:08:19.295,1.0,1.0,,mc2,demo1
2026-06-16 14:11:30.714,2026-06-16 14:08:19.295,0.0,0.0,0,mc3,demo1
2026-06-16 14:11:30.751,2026-06-16 14:03:18.587,1.0,1.0,,mc1,demo1
2026-06-16 14:11:30.779,2026-06-16 14:03:18.587,1.0,1.0,,mc2,demo1
2026-06-16 14:11:30.810,2026-06-16 14:03:18.587,1.0,1.0,,mc5,demo1
2026-06-16 14:11:30.931,2026-06-16 14:03:18.587,1.0,1.0,,mc6,demo1
2026-06-16 14:11:31.140,2026-06-16 14:03:18.587,0.0,0.0,0,mc3,demo1
2026-06-16 14:11:31.170,2026-06-16 14:03:18.587,0.0,0.0,0,mc4,demo1
2026-06-16 14:11:31.322,2026-06-16 13:58:18.191,1.0,1.0,,mc1,demo1
2026-06-16 14:11:31.355,2026-06-16 13:58:18.191,1.0,1.0,,mc2,demo1
2026-06-16 14:11:31.371,2026-06-16 13:58:18.191,1.0,1.0,,mc5,demo1
2026-06-16 14:11:31.400,2026-06-16 13:58:18.191,1.0,1.0,,mc6,demo1
2026-06-16 14:11:31.468,2026-06-16 13:58:18.191,0.0,0.0,0,mc3,demo1
2026-06-16 14:11:31.509,2026-06-16 13:58:18.191,0.0,0.0,0,mc4,demo1
2026-06-16 14:11:31.687,2026-06-16 13:53:18.417,0.0,0.0,0,mc4,demo1
2026-06-16 14:11:31.529,2026-06-16 13:53:18.417,1.0,1.0,,mc6,demo1
2026-06-16 14:11:31.545,2026-06-16 13:53:18.417,1.0,1.0,,mc1,demo1
2026-06-16 14:11:31.565,2026-06-16 13:53:18.417,1.0,1.0,,mc2,demo1
2026-06-16 14:11:31.670,2026-06-16 13:53:18.417,0.0,0.0,0,mc3,demo1
2026-06-16 14:11:31.704,2026-06-16 13:53:18.417,1.0,1.0,,mc5,demo1
2026-06-16 14:11:31.721,2026-06-16 13:48:19.194,1.0,1.0,,mc1,demo1
2026-06-16 14:11:31.856,2026-06-16 13:48:19.194,1.0,1.0,,mc6,demo1
2026-06-16 14:11:31.812,2026-06-16 13:48:19.194,1.0,1.0,,mc5,demo1
2026-06-16 14:11:31.795,2026-06-16 13:48:19.194,1.0,1.0,,mc2,demo1
2026-06-16 14:11:31.779,2026-06-16 13:48:19.194,0.0,0.0,0,mc4,demo1
2026-06-16 14:11:31.754,2026-06-16 13:48:19.194,0.0,0.0,0,mc3,demo1
2026-06-16 14:11:31.981,2026-06-16 13:43:18.501,1.0,1.0,,mc5,demo1
2026-06-16 14:11:32.048,2026-06-16 13:43:18.501,1.0,1.0,,mc1,demo1
2026-06-16 14:11:31.872,2026-06-16 13:43:18.501,0.0,0.0,0,mc3,demo1
2026-06-16 14:11:31.888,2026-06-16 13:43:18.501,0.0,0.0,0,mc4,demo1
2026-06-16 14:11:31.904,2026-06-16 13:43:18.501,1.0,1.0,,mc2,demo1
2026-06-16 14:11:31.936,2026-06-16 13:43:18.501,1.0,1.0,,mc6,demo1
2026-06-16 14:11:32.220,2026-06-16 13:38:19.306,1.0,1.0,,mc6,demo1
2026-06-16 14:11:32.079,2026-06-16 13:38:19.306,1.0,1.0,,mc5,demo1
2026-06-16 14:11:32.104,2026-06-16 13:38:19.306,0.0,0.0,0,mc3,demo1
2026-06-16 14:11:32.129,2026-06-16 13:38:19.306,1.0,1.0,,mc1,demo1
2026-06-16 14:11:32.173,2026-06-16 13:38:19.306,1.0,1.0,,mc2,demo1
2026-06-16 14:11:32.196,2026-06-16 13:38:19.306,0.0,0.0,0,mc4,demo1
2026-06-16 14:11:32.300,2026-06-16 13:33:18.942,1.0,1.0,,mc1,demo1
2026-06-16 14:11:32.437,2026-06-16 13:33:18.942,1.0,1.0,,mc5,demo1
2026-06-16 14:11:32.400,2026-06-16 13:33:18.942,1.0,1.0,,mc6,demo1
2026-06-16 14:11:32.366,2026-06-16 13:33:18.942,0.0,0.0,0,mc3,demo1
2026-06-16 14:11:32.321,2026-06-16 13:33:18.942,0.0,0.0,0,mc4,demo1
2026-06-16 14:11:32.254,2026-06-16 13:33:18.942,1.0,1.0,,mc2,demo1
2026-06-16 14:11:32.618,2026-06-16 13:28:18.802,1.0,1.0,,mc2,demo1
